title,price,rating,product_link,title_normalized,price_category,rating_int
A Light in the Attic,51.77,3,http://books.toscrape.com/catalogue/a-light-in-the-attic_1000/index.html,a light in the attic,High,3
Tipping the Velvet,53.74,1,http://books.toscrape.com/catalogue/tipping-the-velvet_999/index.html,tipping the velvet,High,1
Soumission,50.1,1,http://books.toscrape.com/catalogue/soumission_998/index.html,soumission,High,1
Sharp Objects,47.82,4,http://books.toscrape.com/catalogue/sharp-objects_997/index.html,sharp objects,Medium,4
Sapiens: A Brief History of Humankind,54.23,5,http://books.toscrape.com/catalogue/sapiens-a-brief-history-of-humankind_996/index.html,sapiens: a brief history of humankind,High,5
The Requiem Red,22.65,1,http://books.toscrape.com/catalogue/the-requiem-red_995/index.html,the requiem red,Medium,1
The Dirty Little Secrets of Getting Your Dream Job,33.34,4,http://books.toscrape.com/catalogue/the-dirty-little-secrets-of-getting-your-dream-job_994/index.html,the dirty little secrets of getting your dream job,Medium,4
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,3,http://books.toscrape.com/catalogue/the-coming-woman-a-novel-based-on-the-life-of-the-infamous-feminist-victoria-woodhull_993/index.html,"the coming woman: a novel based on the life of the infamous feminist, victoria woodhull",Low,3
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,4,http://books.toscrape.com/catalogue/the-boys-in-the-boat-nine-americans-and-their-epic-quest-for-gold-at-the-1936-berlin-olympics_992/index.html,the boys in the boat: nine americans and their epic quest for gold at the 1936 berlin olympics,Medium,4
The Black Maria,52.15,1,http://books.toscrape.com/catalogue/the-black-maria_991/index.html,the black maria,High,1
"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,2,http://books.toscrape.com/catalogue/starving-hearts-triangular-trade-trilogy-1_990/index.html,"starving hearts (triangular trade trilogy, #1)",Low,2
Shakespeare's Sonnets,20.66,4,http://books.toscrape.com/catalogue/shakespeares-sonnets_989/index.html,shakespeare's sonnets,Medium,4
Set Me Free,17.46,5,http://books.toscrape.com/catalogue/set-me-free_988/index.html,set me free,Low,5
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,5,http://books.toscrape.com/catalogue/scott-pilgrims-precious-little-life-scott-pilgrim-1_987/index.html,scott pilgrim's precious little life (scott pilgrim #1),High,5
Rip it Up and Start Again,35.02,5,http://books.toscrape.com/catalogue/rip-it-up-and-start-again_986/index.html,rip it up and start again,Medium,5
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,3,http://books.toscrape.com/catalogue/our-band-could-be-your-life-scenes-from-the-american-indie-underground-1981-1991_985/index.html,"our band could be your life: scenes from the american indie underground, 1981-1991",High,3
Olio,23.88,1,http://books.toscrape.com/catalogue/olio_984/index.html,olio,Medium,1
Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,1,http://books.toscrape.com/catalogue/mesaerion-the-best-science-fiction-stories-1800-1849_983/index.html,mesaerion: the best science fiction stories 1800-1849,Medium,1
Libertarianism for Beginners,51.33,2,http://books.toscrape.com/catalogue/libertarianism-for-beginners_982/index.html,libertarianism for beginners,High,2
